YEAR,MONTH,CITY TAX COLLECTIONS (NON-VEHICLE SALES),CITY VEHICLE SALES TAX COLLECTIONS,CITY TOTAL TAX COLLECTIONS,PARISH TAX COLLECTIONS (NON-VEHICLE SALES TAXES),PARISH VEHICLE TAX COLLECTIONS,PARISH TOTAL TAX COLLECTIONS,CITY-PARISH TOTAL (NON-VEHICLE SALES TAXES),CITY-PARISH VEHICLE SALES TAX COLLECTIONS,CITY-PARISH TOTAL TAX COLLECTIONS
2019,06-June,8214786,584474,8799260,6494976,638445,7133421,14709762,1222919,15932681
2019,05-May,8817974,684329,9502303,6390819,652475,7043294,15208793,1336804,16545597
2019,04-April,8453869,631424,9085293,6202056,601034,6803090,14655925,1232458,15888383
2019,03-March,9180270,620383,9800653,6867303,596356,7463659,16047573,1216739,17264312
2019,02-February,7774971,551531,8326502,5890921,535421,6426342,13665892,1086952,14725844
2019,01-January,7738150,665619,8403769,6155697,708883,6864580,13893847,1374502,15268349
2018,12-December,9717037,560472,10277509,6874640,576782,7451422,16591677,1137254,17728931
2018,11-November,8183503,549016,8732519,6731707,541890,7273597,14915210,1090906,16006116
2018,10-October,8342560,638838,8981398,6529597,710628,7240225,14872157,1349466,16221623
2018,09-September,8395498,505763,8901261,6138413,541822,6680235,14533911,1047585,15581496
2018,08-August,8275518,649536,8925117,6988142,666802,7654944,15263723,1316338,16580016
2018,07-July,8181078,635195,8816273,6205076,644152,6849228,14386154,1279347,15665501
2018,06-June,8670568,605621,9276189,6283339,610539,6893878,14953907,1216160,16170067
2018,05-May,8602035,615502,9217537,6604886,682933,7287819,15206921,1298435,16505356
2018,04-April,8275934,611329,8887263,6002187,642046,6644233,14278121,1253375,15531496
2018,03-March,8928009,679353,9607362,6775821,669779,7445600,15703830,1349132,17052962
2018,02-February,7724611,527768,8252379,5382159,576926,5959085,13106770,1104694,14211464
2018,01-January,7815593,602142,8417735,5764546,678431,6442977,13580139,1280573,14860712
2017,12-December,9571623,559404,10131027,6903126,723402,7626528,16474749,1282806,17757555
2017,11-November,8415435,543303,8958738,6170174,591643,6761817,14585609,1134946,15720555
